.HostTimestamp,distance_mm_z0,distance_mm_z1,distance_mm_z2,distance_mm_z3,distance_mm_z4,distance_mm_z5,distance_mm_z6,distance_mm_z7,distance_mm_z8,distance_mm_z9,distance_mm_z10,distance_mm_z11,distance_mm_z12,distance_mm_z13,distance_mm_z14,distance_mm_z15,distance_mm_z16,distance_mm_z17,distance_mm_z18,distance_mm_z19,distance_mm_z20,distance_mm_z21,distance_mm_z22,distance_mm_z23,distance_mm_z24,distance_mm_z25,distance_mm_z26,distance_mm_z27,distance_mm_z28,distance_mm_z29,distance_mm_z30,distance_mm_z31,distance_mm_z32,distance_mm_z33,distance_mm_z34,distance_mm_z35,distance_mm_z36,distance_mm_z37,distance_mm_z38,distance_mm_z39,distance_mm_z40,distance_mm_z41,distance_mm_z42,distance_mm_z43,distance_mm_z44,distance_mm_z45,distance_mm_z46,distance_mm_z47,distance_mm_z48,distance_mm_z49,distance_mm_z50,distance_mm_z51,distance_mm_z52,distance_mm_z53,distance_mm_z54,distance_mm_z55,distance_mm_z56,distance_mm_z57,distance_mm_z58,distance_mm_z59,distance_mm_z60,distance_mm_z61,distance_mm_z62,distance_mm_z63,X,Y
1730199523.808,0.4139006717355025,0.2763533387516203,0.328018544934709,-2.937720285794196,-3.24428852162347,0.32789692748558025,0.36031710046343285,0.41850592929740404,0.3073566610877979,0.28563018594129047,0.30178165645422,0.13065202327530964,-3.422300540517046,0.3789445201661099,0.32976467600345516,0.3061889787751142,0.3577763325325938,0.41396176735900864,0.18459185292043734,0.2534823722318042,0.18157393306056052,0.23485557981411018,0.2153798433871995,0.3310651240162059,0.34587246805096783,0.3375656360410047,0.2170286011220762,0.14832041465372503,0.23524026733514383,0.19713953310778798,0.21016647708298666,0.3315691783203991,0.41233654997949726,0.3793659720954828,0.1256588537282635,0.23713483836331423,0.20494440389590676,0.0809694145025126,0.16743770929203233,0.3624132209460698,0.3810146683120539,0.2711255876087295,0.29657422183560694,0.3371371547587946,0.21926490911077562,0.1546950682981723,-0.15982588025160724,0.2872847029097784,0.3356999306692614,0.5424859235351827,0.25610028107997257,0.23863944711634996,0.27945577490241574,0.2330308308169411,0.3302557757960985,0.3532095672170391,0.349599274485305,0.2969120721392043,0.36057500457410924,0.3775109474786185,0.2847845375720487,0.2560852323484154,0.36837419419220474,0.7799941426230901,0.41776905706149137,1.0182307036259626
1730199524.016,0.4139006717355025,0.19942522293878254,0.25461000480522394,-2.914119487930511,-3.306182205978607,0.3344201297335815,0.2831318674343359,0.5151854081959003,0.2635218940182311,0.219966282692918,0.29608952863805393,0.24772747623593208,-3.422300540517046,-1.456123203667662,0.3497894731774781,0.2616291156102278,0.3753137717879157,0.2868871228207295,0.3058885318840362,0.2950727537279385,0.28384857427554916,0.23076648835606783,0.12342537673088709,0.3290062158789973,0.362847883648691,0.2382803266143837,0.2875364910870765,0.028075860449874777,0.1342307907189196,0.11733208378988601,0.25127485369857755,0.3315691783203991,0.3962083122932037,0.27551266469561203,0.345449345720249,0.26312340659863587,0.07805728368802313,0.0809694145025126,0.33678045223525493,0.334064240702701,0.3957909494437919,0.2032555814700918,0.29011998632981856,0.2840980320954074,0.19792303202268913,0.025697554860514775,-0.15982588025160724,0.31939886945341905,0.28593937732011737,0.5424859235351827,0.21733649786410825,0.3007846434355184,0.15415887636993775,0.2330308308169411,0.3302557757960985,0.2996951181574464,0.36267580396258314,0.403694884128285,0.36057500457410924,0.329956730220568,0.2847845375720487,0.26662901047371595,0.3273517035482274,0.7799941426230901,0.6275648391127138,1.527800980139985
1730199524.255,0.4288492396419768,0.2770108440149779,0.326683844205082,-2.9997566687501687,-3.346113615239985,-3.2233343763263034,0.307663608164514,0.35658761135117617,0.3154974035435746,0.3138656643380906,0.23276460668320667,0.32042138493697214,-3.422300540517046,-3.2911909275014337,0.3103858400285942,0.29642243342390623,0.3668474218025879,0.25580908475430253,0.3407613270860709,0.1983114580022383,0.14398581705847066,0.22667739689802682,0.23799159748301404,0.4189118712037734,0.37921703440363835,0.3412158312405128,0.03559976230969727,0.16480555514941417,0.16592003828479387,0.16146090870684357,0.2923832303141697,0.37490710004662137,0.31298660583192883,0.17165935729574128,0.2602805300733546,0.2891119748339575,0.2223602831401261,0.0809694145025126,0.1281116694616157,0.25047109383122906,0.4105672305755299,0.24638131453735118,0.2836657508240302,0.23105890943202026,0.10845131653801882,0.22103664663753905,-0.15982588025160724,0.32140600486239657,0.3092838344468763,0.5164410454341671,0.2165910404945724,0.3629298397546869,0.37517949241480575,0.044097754960900404,0.2921772897638916,0.3640327142178556,0.3532316437845489,0.34523278594431905,0.36057500457410924,0.28240251296251745,0.25154793006636345,0.2771727885990154,0.2857076600157049,0.7799941426230901,0.628,1.528354464273805
1730199524.499,0.4437978075484511,0.259258201904323,0.26395290991261294,-3.0982057112672554,-3.3540998970922606,-3.3094406459999197,0.256206786145116,0.34192274657443794,0.35870595965500474,0.3447276988648256,0.26976343748828596,0.23854508776843228,-3.6442931123537776,-3.3496845613968023,0.2955287324478675,0.32877411489978264,0.39647964675123526,0.3124401763420139,0.37942464350571803,0.1983114580022383,0.1728325107344931,0.22258830543998448,0.2967821581321318,0.2741019988867676,0.3446599383654162,0.22805978005576094,0.2565818076878081,0.07074328290930551,0.2897061615889902,0.047852657324889,0.3334916069297606,0.3425703430662863,0.2955681091307318,0.391254902908936,0.13115361602806314,0.1672639335994987,0.15020878341407462,0.2185111867926954,0.16864156765418795,0.353690457794264,0.47026340634775154,0.2895070476046106,0.2941538835209363,0.2859525468738475,0.19710219059622425,0.07361091699450187,-0.15982588025160724,0.3321107270436101,0.3037548840747492,0.49039616733315067,0.19571823414756853,0.35378435873608544,0.35961466029897,0.30255165959513786,0.34703612557300323,0.300897690046426,0.40045244467471997,0.30108793629520186,0.36057500457410924,0.252993983868723,0.36920552063648937,0.2877165667243159,0.2596024386968102,0.7799941426230901,0.6285276666558423,1.5316252947748534
1730199524.752,0.4513987742805567,0.3131736334996452,0.22457923838861643,0.3178412023735802,-3.3308065750231233,-3.405331719045538,0.22928170485589613,0.30580372777247167,0.3136187706691646,0.2698708491616811,0.27616708128147277,0.25002307335280705,-3.6472728784187,-3.408858353825838,0.3556031239699364,0.2958120243394557,0.39708438603590157,0.2392341311188748,0.19368910384270724,0.155023509914425,0.17108422626927963,0.2184992139819435,0.3043194094974033,0.24733619310305566,0.3616353539631394,0.3558166120385453,0.23852490903823484,0.22298840395772881,0.23623055632157738,0.27976371593102767,0.32753556372693343,0.3102335860859512,0.2665372812954033,0.44393918455286635,0.14214314062766242,0.21838898586570518,0.18089390398722294,0.3946882883778734,0.20917146584676016,0.4111153152103187,0.567195810571953,0.33263278067186997,0.2562352499244297,0.25108766903917346,0.09860121942044044,0.11231017102579913,-0.053635576769354494,0.2852775675008009,0.31788442391462957,0.4643512892321352,0.2784640021660481,0.3446388777174852,0.2670039092097471,0.31890950166059595,0.40189496138211483,0.32555041377050803,0.21447513655343092,0.2754361993369311,0.45721394050520225,0.35873954592938806,0.4868631112066153,0.29826034484961533,0.23411877026646064,0.7799941426230901,0.6293106321731081,1.534288335081295
1730199525.014,0.45791388862236165,0.25136813874403197,0.13048283694991283,0.3744831172464247,-3.1930432130713675,-3.3811958707279337,0.2933035648102634,0.2696847089705054,0.29358002000879124,0.3276550840202488,0.3131659120865521,0.32042138493697214,-3.402187119578819,-3.3530853540651377,0.35883292996574656,0.3769964325713721,0.32753936829928015,0.3552588065668688,0.28238730033483894,0.22037982369406464,0.046956029239122454,0.21441012252390115,0.20256651606623793,0.3592035352247236,0.34587246805096783,0.12731439254933669,0.34858600556896707,0.22395811810453406,0.1411628136239546,0.1483161523486009,0.32157952052410627,0.3802409981052333,0.37814468608455487,0.4966234661967954,0.295080691305419,0.26951403813191166,0.17197863246934877,0.3987449979538479,0.24930007791861386,0.3187994051870409,0.5151833009882352,0.33581418720961864,0.2058115350354581,0.36829300303658846,0.13143487647903504,0.23762204122238076,0.05255472671289825,0.3187298243170932,0.3037548840747492,0.44265156062449534,0.24342750579786307,0.3354933966988838,0.22964831213174125,0.34753572527514753,0.3369248891689713,0.3393799904937736,0.39173475835653454,0.29750862416148965,0.29138381375953964,0.17415409736195503,0.40310686029228837,0.3088041229749159,0.31896073955286836,0.7799941426230901,0.6295724703516123,1.5347165904907099
1730199525.23,0.46442900296416656,0.25991570716768064,0.3380288004069115,0.3414420002372654,-2.817687966014409,-3.31009296622472,-1.3551097452297536,-1.3589299959572525,0.34680795145040805,0.30532935691580215,0.3039162043852823,0.281396233950098,-1.5636714575215944,-3.181005245047367,0.4357023126660282,0.2793309790592922,0.29065027193463744,0.42846485179000793,0.2641927984902991,0.21358955732734886,0.1728325107344931,0.21032103106586014,0.31411783627225626,0.2315512307177896,0.36466667817701853,0.2499609512528097,0.08719090130847801,0.22298840395772881,0.2223665105115074,0.18117804324420758,0.4070662582588018,0.37157341375998887,0.31621225336918757,0.5493077478407258,0.11833250399519732,0.21327648063908453,0.16306336095147458,0.40280170752982236,0.28621840102471924,0.2999000850247951,0.4631707914045173,0.33899559374736726,0.15538782014648655,0.16355457149680022,0.25702361472815943,0.11507440345660608,0.158745030195151,0.30467987645425043,0.34860081487089134,0.4209518320168565,0.20839100942967803,0.3263479156802824,0.18840150702477645,0.08417446802127267,0.2719548169558265,0.18124178709295474,0.2304575614701042,0.2808051675374994,0.3178512822647584,0.31931960267600407,0.2987439127244365,0.3193479011002153,0.4038027088392761,0.7799941426230901,0.6303187054244414,1.53710360344396
1730199525.477,0.47094411730597147,0.30133853875920863,0.20055462525533038,0.31312104280084313,0.28697910405777305,-3.066125202149473,-3.0035230552697705,-2.9875447008850107,0.2885703323436979,0.29482313239606256,0.3409150351903616,0.2806310349111397,0.27484420453562997,-1.3717835454929443,-3.032463365634916,0.30100050155728497,0.26222752555532264,0.44503980542543564,0.2664671112208666,0.18897484174800405,0.08541828747381904,0.2062319396078178,0.2907523570399146,0.2857691449976164,0.36466667817701853,0.23974040469418695,0.10266824300811223,0.057167284854032094,0.1718617722033953,0.03846354564042994,0.37027893259428124,0.3629058294147444,0.300084015682894,0.4810046747359852,0.15496425266052824,0.10932220769779802,0.15414808943360042,0.40685841710579684,0.15700427015335036,0.22866418595171462,0.40377014125493044,0.2538045964587647,0.14974036407892174,0.21065924686917903,0.2520985661693702,0.3039636195617475,0.26493533367740374,0.2926370640003852,0.25829462545948184,0.3992521034092167,0.37611891757524474,0.31720243466168213,0.2389872114012427,0.2109477440285727,0.206984744742683,0.37004557366275365,0.4149819218716957,0.32852932932032874,0.3443187507699782,0.3455995648449267,0.20036355450760807,0.3298916792255159,0.35221381909003185,0.7799420238454201,0.6481959164017648,1.55831143208393
1730199525.721,0.4774592316477755,0.3079135913927845,0.14382984424618284,0.30502934067615106,0.34487964748677197,-2.6545111403005937,-2.92155114112259,-2.8995555122245813,0.2798033789297845,0.2790637956164532,0.3067622682933653,0.22400630602822427,0.23387242114294465,0.43743815406147846,-2.8935817078150796,0.32267002405527767,0.3529384182552636,0.29586522270658616,0.2315943160188319,0.31629233612392543,0.22702932915611101,0.20214284814977546,0.4316989575704918,0.3427322701270547,0.3204093446543831,0.39158852499372493,0.23422564745500313,0.18613926637912953,0.14710454754255603,0.08071454822049569,0.3334916069297606,0.34290371169494954,0.29105220257856956,0.4127016016312433,0.3481967268701488,0.27377445915409554,0.14523281791572623,0.4109151266817714,0.1594119868776616,0.1995883087790287,0.3443694911053436,0.1686135991701621,0.24736067610397067,0.25776392224155786,0.11665973080266746,0.24867897094560854,0.30049673763425117,0.32809645622565503,0.3492151426900166,0.37755237480157683,0.33810059172891627,0.30805695364308067,0.1845102989958175,0.259203378121674,0.29411348396891906,0.34900056560561044,0.23772230006859207,0.3350914015654678,0.37078621927519695,0.37187952701384935,0.25154793006636345,0.38719668472765484,0.3174068573315056,0.7798899050677501,0.7059803481426427,1.6249813980329249
1730199525.965,0.4839743459895804,0.31383113876300284,0.25461000480522394,0.3036807236553691,0.27633072825473876,-1.1757011906787092,-2.755812307408948,-2.7556225801565954,0.2760461131809645,0.2784071565839695,0.2277839948440614,0.31965618589801387,0.29942727457124113,0.3564992885550964,-2.9116686213916165,-1.3492404582546396,0.35414789682459613,0.2937933535021577,0.3066466361275587,0.1770918756062514,0.23052589808653798,0.19805375669173444,0.30356568436087616,0.2747883015991705,0.3834608883030692,0.22221946773654794,0.1172857323911001,0.22783697469175504,0.22038593253864028,0.20277300011846341,0.29670428126523996,0.32290159397515467,0.32524406647351195,0.3443985285265027,0.2364698934408895,0.374320395277635,0.20784705043661,0.19764810897339802,0.16181970360197281,0.21848762894127455,0.3284111074830665,0.403330703732951,0.3449809881290196,0.21251376164761915,0.1888937763315756,0.21550818177592518,0.25922794785716935,0.2230563698224972,0.292696983330495,0.35585264619393703,0.30008226588258785,0.3609464824253517,0.21174875519853012,0.20931195982202688,0.32616825469659566,0.3002964041019362,0.24426056480723113,0.2808051675374994,0.3972536877804157,0.3706281002439007,0.30871489497614213,0.4445016902297938,0.3708604057463852,0.7798377862900802,0.729776174930257,1.6397587313125257
