0.714286,0.773913,0.723738,0.570059,1.38
0.714286,0.791303,0.723738,0.57658,1.380431
0.714286,0.765217,0.708067,0.581592,1.381
0.761905,0.739131,0.692977,0.583841,1.381424
0.714286,0.756521,0.708067,0.585102,1.38206
0.714286,0.765217,0.708067,0.586364,1.382696
0.761905,0.773913,0.708648,0.587625,1.383332
0.714286,0.799999,0.723738,0.588886,1.383967
0.714286,0.686956,0.645386,0.590148,1.384603
0.714286,0.634781,0.582705,0.591409,1.385239
0.714286,0.669563,0.645386,0.59267,1.385875
0.714286,0.643477,0.614045,0.593791,1.38644
0.761905,0.66087,0.614626,0.602804,1.395141
0.761905,0.608695,0.567615,0.622723,1.416474
0.809524,0.582609,0.536854,0.649045,1.442195
0.809524,0.547823,0.536854,0.674527,1.472265
0.857143,0.530434,0.506094,0.697515,1.518646
0.809524,0.530434,0.489843,0.715875,1.578125
0.857143,0.495652,0.474753,0.729323,1.65578
0.857143,0.443477,0.427742,0.74033,1.744843
0.857143,0.43478,0.396402,0.754336,1.831725
0.857143,0.382609,0.365061,0.767487,1.923637
0.809524,0.321737,0.31747,0.783981,2.009223
0.809524,0.269565,0.270459,0.819625,2.087875
0.761905,0.243476,0.254208,0.878977,2.167905
0.761905,0.234783,0.238537,0.964003,2.223559
0.714286,0.113043,0.128265,1.099071,2.264965
0.47619,0.12174,0.094022,1.18446,2.273666
0.428571,0.139129,0.109112,1.285217,2.273666
0.333333,0.139129,0.154962,1.41571,2.273595
0.285714,0.165215,0.154382,1.560683,2.252778
0.285714,0.21739,0.217063,1.686435,2.191463
0.238095,0.234783,0.232153,1.818814,2.126133
0.190476,0.356519,0.325595,1.910228,2.067972
0.238095,0.382609,0.357516,1.9972,1.993408
0.142857,0.417391,0.419037,2.091367,1.890423
0.190476,0.452173,0.419617,2.157875,1.782125
0.095238,0.53913,0.496808,2.201621,1.666617
0.047619,0.591302,0.527568,2.235208,1.534075
0.238095,0.617391,0.56123,2.247045,1.404933
0.285714,0.652174,0.577481,2.247795,1.265535
0.285714,0.626084,0.593151,2.247795,1.127245
0.333333,0.643477,0.578062,2.244322,0.998121
0.333333,0.695652,0.640743,2.215375,0.8975
0.333333,0.721738,0.656413,2.161599,0.809683
0.333333,0.765217,0.703424,2.097122,0.752293
0.380952,0.756521,0.704005,2.028921,0.704499
0.380952,0.773913,0.704005,1.942476,0.659364
0.571429,0.765217,0.706326,1.862365,0.653
0.47619,0.782606,0.705165,1.750287,0.653
0.52381,0.730435,0.643064,1.641996,0.653
0.666667,0.669563,0.629135,1.544613,0.659377
0.666667,0.634781,0.613465,1.45691,0.681021
