0.75,0.650407,0.571507,0.385027,1.105366
0.75,0.650407,0.571507,0.587979,1.657098
0.75,0.650407,0.571507,0.594083,1.657098
0.75,0.650407,0.571507,0.596405,1.657098
0.75,0.650407,0.571507,0.597386,1.647598
0.75,0.650407,0.571507,0.600862,1.628768
0.75,0.650407,0.571507,0.611583,1.614735
0.75,0.626018,0.571507,0.612125,1.575888
0.75,0.626018,0.571507,0.613391,1.5615
0.75,0.650407,0.586416,0.615269,1.561
0.75,0.634146,0.571507,0.616311,1.561
0.75,0.642276,0.571507,0.616415,1.564281
0.75,0.634146,0.586416,0.617208,1.580393
0.75,0.609756,0.571507,0.621737,1.583273
0.8,0.634146,0.57206,0.622656,1.584513
0.7,0.634146,0.570955,0.622871,1.586771
0.7,0.658538,0.570955,0.622177,1.590352
0.75,0.626018,0.571507,0.622138,1.595894
0.75,0.609756,0.571507,0.622296,1.604066
0.85,0.617887,0.557703,0.622034,1.616943
0.8,0.621953,0.564605,0.622108,1.668887
0.75,0.626018,0.571507,0.622513,1.742083
0.8,0.593498,0.542242,0.624845,1.824723
0.85,0.560975,0.512976,0.634432,1.919277
0.8,0.569105,0.512424,0.677906,1.98545
0.8,0.528455,0.452789,0.686569,2.037826
0.85,0.536585,0.498067,0.690161,2.139949
0.85,0.479676,0.393705,0.714281,2.194951
0.85,0.512196,0.46825,0.722125,2.262499
0.85,0.495935,0.453341,0.758862,2.30261
0.85,0.487804,0.438432,0.85199,2.351456
0.85,0.430895,0.393705,0.922646,2.366122
0.85,0.390244,0.363887,0.999488,2.370752
0.85,0.373985,0.33407,1.074625,2.3735
0.9,0.325204,0.304804,1.167455,2.373875
0.95,0.276422,0.260629,1.277373,2.375
0.9,0.260164,0.23026,1.384792,2.375
0.9,0.243902,0.23026,1.536053,2.36525
0.85,0.195122,0.184981,1.645084,2.358187
0.8,0.146342,0.139702,1.723017,2.3328
0.75,0.121953,0.109332,1.807711,2.314804
0.65,0.089433,0.07841,1.905134,2.29757
0.6,0.105691,0.092766,1.963556,2.280653
0.45,0.089431,0.068747,2.047984,2.221339
0.3,0.073171,0.044727,2.178615,2.074365
0.25,0.081302,0.044174,2.198321,1.900657
0.25,0.089433,0.073992,2.2115,1.832688
0.15,0.113822,0.162341,2.226473,1.774
0.2,0.178862,0.162893,2.226473,1.717341
0.15,0.268294,0.236886,2.20994,1.559717
0.2,0.252033,0.222529,2.1995,1.417636
0.25,0.276422,0.252899,2.190843,1.364328
0.2,0.284553,0.267256,2.147993,1.3215
0.15,0.382113,0.341248,2.106918,1.272176
0.2,0.414636,0.356709,2.064633,1.188931
0.25,0.398375,0.357261,1.997804,1.123554
0.15,0.398375,0.356157,1.963652,1.033774
0.2,0.487804,0.416345,1.891842,0.964272
0.2,0.552847,0.520707,1.834468,0.893233
0.2,0.601625,0.535616,1.759212,0.854037
0.25,0.609756,0.551077,1.661142,0.845474
0.3,0.593498,0.551629,1.57779,0.833044
0.2,0.666669,0.61016,1.507047,0.808894
0.3,0.609756,0.566538,1.43341,0.780785
0.35,0.723578,0.656543,1.352405,0.78
0.4,0.723578,0.649641,1.259915,0.78
0.45,0.723578,0.642739,1.201242,0.782062
0.45,0.707316,0.642739,1.170537,0.826569
0.5,0.691058,0.628382,1.130205,0.877033
0.5,0.707316,0.628382,1.084506,0.924565
0.6,0.642276,0.614578,1.062,0.990544
0.55,0.691058,0.628934,1.015405,1.049055
0.5,0.609756,0.553838,0.937829,1.120492
0.55,0.650407,0.584208,0.872302,1.196681
0.65,0.666669,0.61513,0.846125,1.268935
0.65,0.658538,0.61513,0.846,1.341471
0.6,0.626018,0.569851,0.846,1.432957
0.65,0.585367,0.540585,0.843739,1.531699
0.75,0.626018,0.571507,0.840019,1.583875
0.85,0.552847,0.512976,0.840019,1.651315
0.8,0.544716,0.497515,0.839164,1.699438
0.8,0.512196,0.467697,0.839852,1.805116
0.75,0.536585,0.482054,0.841597,1.930462
0.8,0.552847,0.497515,0.841597,2.020439
0.8,0.495935,0.452789,0.843112,2.08867
0.8,0.447156,0.422971,0.895505,2.118473
0.85,0.414636,0.378796,0.945122,2.176714
0.85,0.430895,0.393705,0.998838,2.261531
0.8,0.398375,0.363335,1.028536,2.351034
0.9,0.341465,0.304804,1.05798,2.427099
0.8,0.317073,0.288791,1.103017,2.469925
0.9,0.292684,0.274986,1.172917,2.476
0.9,0.276422,0.260077,1.282698,2.477992
0.85,0.260164,0.229707,1.394308,2.491464
0.85,0.211382,0.184981,1.488325,2.49568
0.85,0.170731,0.155163,1.55547,2.493773
0.8,0.170731,0.139702,1.662018,2.489669
0.8,0.09756,0.094975,1.742355,2.4885
0.85,0.048782,0.06571,1.802667,2.4885
0.8,0.056909,0.050248,1.834085,2.454901
0.7,0.06504,0.049144,1.85518,2.335129
0.6,0.073171,0.04804,1.873842,2.25325
0.55,0.09756,0.032579,1.90333,2.184417
0.5,0.105691,0.046935,1.945885,2.088404
0.4,0.13008,0.120375,2.01064,1.964989
0.35,0.166666,0.149641,2.083953,1.880117
0.3,0.203251,0.178907,2.103105,1.75156
0.25,0.178862,0.163446,2.111553,1.65345
0.3,0.284553,0.238542,2.112618,1.557
0.2,0.292684,0.267256,2.122755,1.417505
0.25,0.325204,0.297626,2.133594,1.280108
0.25,0.382113,0.342352,2.123923,1.226347
0.15,0.390244,0.341248,2.108222,1.142837
0.15,0.471545,0.415792,2.094853,1.051875
0.15,0.463415,0.415792,2.069665,0.969769
0.2,0.512196,0.446162,2.0245,0.947875
0.2,0.577236,0.520707,1.915639,0.925812
0.175,0.589431,0.520431,1.846532,0.90654
0.15,0.601625,0.520155,1.794386,0.8703
0.2,0.577236,0.535616,1.723329,0.820109
0.25,0.658538,0.580895,1.667968,0.7905
0.3,0.658538,0.596356,1.50755,0.7905
0.35,0.658538,0.596908,1.415355,0.7905
0.4,0.626018,0.575097,1.335994,0.806
0.45,0.593498,0.553285,1.280746,0.852031
0.5,0.658538,0.598564,1.250663,0.928086
0.55,0.691058,0.614025,1.19275,0.991125
0.55,0.674796,0.628934,1.123858,1.042342
0.55,0.626018,0.584208,1.031988,1.116662
0.55,0.642276,0.584208,0.985125,1.17825
0.55,0.650407,0.584208,0.918746,1.290241
0.65,0.593498,0.540585,0.885129,1.397939
0.6,0.577236,0.525124,0.87123,1.499767
0.7,0.593498,0.541137,0.863482,1.588729
0.65,0.560975,0.495859,0.863373,1.669818
0.7,0.552847,0.51132,0.863373,1.722632
0.75,0.569105,0.511872,0.867779,1.762
0.75,0.560975,0.511872,0.901126,1.766721
0.75,0.528455,0.467145,0.982125,1.776711
0.7,0.495935,0.466593,1.074121,1.789977
0.7,0.487804,0.451684,1.162069,1.799263
0.6,0.414636,0.390944,1.263518,1.824598
0.7,0.398375,0.332413,1.346065,1.876598
0.6,0.349593,0.301491,1.425863,1.920641
0.7,0.325204,0.302595,1.516,1.94625
0.65,0.292684,0.272225,1.646988,1.959717
0.575,0.272358,0.249034,1.768353,1.977336
0.5,0.252033,0.225842,1.818118,2.015072
0.483333,0.235772,0.210749,1.838625,2.05
0.466667,0.219512,0.195656,1.860419,2.070293
0.45,0.203251,0.180563,1.884187,2.1055
0.4,0.162604,0.135284,1.938591,2.1055
0.4,0.154473,0.150193,1.958152,2.1055
0.35,0.154473,0.149641,1.966871,2.100137
0.3,0.146342,0.119271,1.967,1.987404
0.35,0.203251,0.179459,1.966875,1.896375
0.3,0.203251,0.178907,1.966625,1.773521
0.2,0.292684,0.252347,1.952703,1.6561
0.275,0.304878,0.268084,1.90613,1.627373
0.35,0.317073,0.283821,1.805062,1.535527
0.35,0.382113,0.343457,1.708688,1.347118
0.4,0.422764,0.388736,1.669134,1.22625
0.35,0.471545,0.418001,1.650312,1.119223
0.25,0.520327,0.461623,1.620654,1.012412
0.25,0.536585,0.491441,1.578871,0.96334
0.3,0.601625,0.551629,1.510344,0.903602
0.35,0.617885,0.56709,1.435273,0.832355
0.4,0.634146,0.582551,1.371034,0.796767
0.35,0.642276,0.596908,1.290785,0.795814
0.4,0.739836,0.672004,1.22662,0.795814
0.45,0.723578,0.642739,1.158307,0.795814
0.55,0.747967,0.703479,1.092433,0.820313
0.5,0.723578,0.6582,1.004818,0.901978
0.55,0.739836,0.658752,0.99371,0.999492
0.6,0.682927,0.614578,0.979791,1.094715
0.6,0.691058,0.614578,0.938384,1.185131
0.65,0.658538,0.600221,0.85525,1.306
0.7,0.650407,0.585864,0.810926,1.417867
0.75,0.642276,0.586416,0.788079,1.526665
0.8,0.634146,0.586969,0.788079,1.641994
0.75,0.544716,0.496963,0.788079,1.768848
0.8,0.536585,0.497515,0.791658,1.860753
0.85,0.544716,0.512976,0.80862,1.941996
0.85,0.520327,0.46825,0.830653,2.008236
0.8,0.487804,0.43788,0.8405,2.091649
0.85,0.487804,0.453341,0.87875,2.170024
0.85,0.487804,0.393705,0.945625,2.203917
0.9,0.414636,0.394257,1.013515,2.213164
0.8,0.357724,0.333517,1.156927,2.221389
0.8,0.373985,0.348426,1.230776,2.237843
0.8,0.292684,0.273882,1.295554,2.240198
0.85,0.243902,0.229707,1.380999,2.226417
0.8,0.260164,0.229155,1.49691,2.219696
0.75,0.252033,0.228603,1.575391,2.219429
0.65,0.227644,0.197681,1.661235,2.209006
0.65,0.186993,0.152954,1.739203,2.144878
0.6,0.138211,0.107675,1.798968,2.082498
0.55,0.13008,0.122032,1.847755,2.02073
0.55,0.105691,0.181668,1.926339,1.94977
0.45,0.126016,0.1582,2.03335,1.904932
0.35,0.146342,0.134732,2.055145,1.873418
0.25,0.170731,0.148537,2.073211,1.7094
0.2,0.203251,0.177802,2.091071,1.600854
0.2,0.211382,0.177802,2.109096,1.537959
0.25,0.300814,0.267808,2.127962,1.379547
0.25,0.308942,0.282717,2.134419,1.32268
0.2,0.349593,0.311982,2.134419,1.279375
0.15,0.390244,0.356157,2.129814,1.235933
0.1,0.398375,0.355605,2.106673,1.179274
0.1,0.406505,0.370514,2.083358,1.125259
0.2,0.439025,0.401436,2.011874,1.074419
0.25,0.487804,0.446715,1.962295,1.057216
0.25,0.487804,0.446715,1.952189,1.039094
0.25,0.455284,0.416897,1.812469,1.030187
0.3,0.528455,0.462176,1.687124,1.023023
0.3,0.593498,0.447267,1.620491,0.992134
0.316667,0.588078,0.472299,1.596283,0.987679
0.333333,0.582657,0.497331,1.538708,0.989884
0.35,0.577236,0.522363,1.470457,1.001441
0.3,0.723578,0.655991,1.416309,1.018074
0.366667,0.677508,0.61697,1.336696,1.086818
0.433333,0.631438,0.57795,1.285645,1.14421
0.5,0.585367,0.538929,1.25875,1.157573
0.5,0.609756,0.553838,1.231124,1.176832
0.55,0.609756,0.539481,1.129038,1.25779
0.55,0.609756,0.539481,1.098754,1.320741
0.6,0.569105,0.525124,1.052896,1.423559
0.65,0.536585,0.495859,1.019505,1.573371
0.75,0.560975,0.511872,1.002739,1.63218
0.65,0.528455,0.466041,0.95986,1.727709
0.7,0.512196,0.466593,0.91922,1.803625
0.75,0.495935,0.452236,0.913681,1.884671
0.8,0.471545,0.43788,0.915575,1.957734
0.75,0.487804,0.452236,0.915575,2.00613
0.85,0.455284,0.408614,0.91895,2.049671
0.85,0.398375,0.378796,0.96252,2.112318
0.85,0.422764,0.393705,1.007843,2.15658
0.85,0.349593,0.319161,1.074646,2.216929
0.8,0.382113,0.363335,1.129455,2.277929
0.9,0.325204,0.304804,1.194816,2.310618
0.85,0.300814,0.289343,1.274121,2.314142
0.85,0.292684,0.274434,1.318646,2.314142
0.85,0.268294,0.229707,1.328043,2.309368
0.8,0.243902,0.229155,1.337952,2.258837
0.8,0.260164,0.244064,1.3505,2.201625
0.7,0.235774,0.213142,1.382165,2.138753
0.7,0.243902,0.183324,1.428495,2.078503
0.65,0.219513,0.197681,1.48225,2.009365
0.6,0.235774,0.226946,1.512594,1.934683
0.55,0.268294,0.226394,1.515189,1.851097
0.5,0.252033,0.225842,1.515189,1.726731
0.5,0.382113,0.345113,1.515189,1.608377
0.45,0.373985,0.344561,1.513172,1.501041
0.5,0.398375,0.345113,1.5125,1.49268
0.45,0.422765,0.374379,1.5125,1.41689
0.4,0.447156,0.403644,1.52382,1.300148
0.4,0.479676,0.448371,1.575,1.094236
0.4,0.544716,0.508007,1.594464,0.991157
0.4,0.536585,0.508007,1.612131,0.832306
0.35,0.593498,0.522363,1.646048,0.73681
0.35,0.626018,0.552181,1.707721,0.668831
0.25,0.601625,0.64053,1.790148,0.66519
0.3,0.609756,0.551629,1.898125,0.66519
0.25,0.585367,0.521259,1.953765,0.66519
0.25,0.569105,0.521259,1.999921,0.66941
0.2,0.593498,0.520707,2.087663,0.696017
0.2,0.577236,0.520707,2.13712,0.747227
0.2,0.601625,0.535616,2.215987,0.846757
0.2,0.512196,0.47598,2.261354,0.98983
0.15,0.495935,0.460519,2.267041,1.128562
0.183333,0.444445,0.411191,2.270094,1.214912
0.216667,0.392955,0.361863,2.27144,1.301611
0.25,0.341465,0.312535,2.27069,1.432695
0.25,0.373985,0.342352,2.27044,1.550944
0.2,0.308942,0.282165,2.26969,1.657375
0.2,0.276422,0.252347,2.238875,1.7651
0.15,0.252033,0.207068,2.174178,1.810875
0.15,0.227644,0.207068,2.063146,1.897217
0.25,0.186993,0.178355,1.986078,2.0095
0.35,0.170733,0.16455,1.889333,2.075056
0.45,0.154473,0.150745,1.850319,2.110306
0.5,0.162604,0.091662,1.682186,2.26165
0.55,0.203251,0.181668,1.581798,2.293746
0.625,0.219513,0.197405,1.454267,2.293746
0.7,0.235774,0.213142,1.351271,2.293746
0.7,0.243902,0.272777,1.278921,2.290431
0.75,0.252033,0.258421,1.223177,2.279118
0.75,0.325204,0.27333,1.0677,2.251569
0.85,0.365854,0.33407,0.97944,2.177949
0.85,0.373985,0.348978,0.871429,2.117904
0.8,0.398375,0.363335,0.861938,2.045196
0.8,0.422764,0.393153,0.85634,1.941841
0.75,0.439025,0.392601,0.845636,1.83421
0.7,0.487804,0.436775,0.828729,1.735171
0.7,0.463415,0.421866,0.820398,1.618882
0.7,0.536585,0.481502,0.808091,1.507052
0.7,0.552847,0.51132,0.808091,1.384497
0.6,0.666669,0.58476,0.808091,1.296123
0.6,0.634146,0.554942,0.811755,1.254387
0.55,0.658538,0.584208,0.864539,1.071411
0.5,0.650407,0.598564,0.867,0.953885
0.55,0.674796,0.628934,0.871488,0.908
0.55,0.707316,0.658752,0.890446,0.907385
0.45,0.739836,0.657648,1.051738,0.812527
0.35,0.723578,0.686361,1.175125,0.682509
0.45,0.658538,0.657648,1.254351,0.672872
0.45,0.658538,0.583103,1.340877,0.665883
0.4,0.691058,0.612369,1.457254,0.663
0.35,0.658538,0.581999,1.569765,0.665883
0.3,0.691058,0.581447,1.658555,0.672903
0.35,0.634146,0.581999,1.778279,0.690875
0.35,0.609756,0.552181,1.88571,0.713174
0.25,0.569105,0.50635,1.972648,0.775879
0.3,0.560975,0.491993,2.038395,0.849261
0.3,0.544716,0.491993,2.111369,0.93865
0.25,0.495935,0.446715,2.129869,1.046359
0.15,0.504065,0.460519,2.174952,1.165328
0.2,0.439025,0.386527,2.236237,1.282758
0.15,0.382113,0.341248,2.289375,1.402852
0.15,0.398375,0.356157,2.29976,1.470631
0.25,0.292684,0.252899,2.322322,1.578056
0.15,0.284553,0.236886,2.3265,1.704801
0.225,0.280487,0.245168,2.327875,1.821581
0.3,0.276422,0.253451,2.314582,1.955611
0.25,0.170731,0.133628,2.291022,2.045663
0.3,0.121953,0.089453,2.249343,2.180198
0.3,0.089433,0.089453,2.124744,2.224105
0.3,0.113822,0.089453,2.03614,2.268864
0.35,0.121953,0.090006,1.900701,2.270152
0.425,0.130082,0.098288,1.8545,2.270152
