0.494007,0.522916,0.517016,0.048083,0.041942,0.506603,0.518103,0.561191,0.518724,0.493696,0.518258,0.504892,0.538716,0.537943,0.528034,0.539798,0.539798,0.53485,0.528964,0.557971,0.562875,0.54335,0.570207,0.582963,0.553056,0.519811,0.535159,0.566545,0.581298,0.577509,0.568529,0.58039,0.572035,0.548593,0.588999,0.559965,0.597555,0.607684,0.609462,0.594409,0.636627,0.580541,0.582207,0.605457,0.639213,0.632009,0.636195,0.6395,0.641362,0.635475,0.60516,0.628966,0.624163,0.640789,0.623433,0.667104,0.483904,0.646639,0.622557,0.634032,0.654416,0.654698,0.696902,0.069951,0.385027,1.105366
0.500071,0.503415,0.497739,0.045153,0.040251,0.500693,0.535778,0.561191,0.529429,0.515462,0.516394,0.521674,0.538716,0.523071,0.526018,0.55705,0.515151,0.517948,0.531753,0.542115,0.545048,0.545549,0.556897,0.564022,0.533147,0.560424,0.557664,0.545973,0.586286,0.582812,0.568529,0.583417,0.531908,0.555822,0.581147,0.583417,0.624309,0.607684,0.609462,0.602481,0.636627,0.580541,0.594409,0.61581,0.600394,0.632877,0.625475,0.645501,0.638064,0.608573,0.613747,0.621825,0.624163,0.64222,0.623433,0.679012,0.473349,0.655119,0.657505,0.639858,0.660719,0.654698,0.679418,0.069951,0.587979,1.657098
0.506136,0.483904,0.484525,0.048655,0.043675,0.51251,0.520277,0.579784,0.497894,0.505981,0.51453,0.505048,0.556283,0.529894,0.539798,0.555822,0.505048,0.51686,0.523692,0.54551,0.54227,0.547746,0.557511,0.544893,0.542115,0.554901,0.554286,0.599349,0.574926,0.587945,0.571034,0.586437,0.582207,0.563028,0.569445,0.579632,0.60114,0.607684,0.609462,0.610498,0.622264,0.580541,0.606497,0.596208,0.626786,0.637346,0.614632,0.618015,0.629256,0.602202,0.59763,0.614632,0.634754,0.62853,0.648059,0.645928,0.469318,0.655681,0.616986,0.645643,0.666966,0.654698,0.705503,0.069951,0.594083,1.657098
0.508935,0.454631,0.488721,0.046568,0.041346,0.497272,0.52214,0.531598,0.507069,0.519345,0.496495,0.501315,0.533456,0.517482,0.536087,0.536242,0.531134,0.510334,0.552902,0.542424,0.551518,0.54994,0.559658,0.576446,0.525708,0.520122,0.543968,0.567766,0.575686,0.58387,0.573536,0.589451,0.562722,0.559007,0.580996,0.592008,0.631575,0.607684,0.608247,0.624747,0.607684,0.574394,0.609462,0.602481,0.604416,0.603524,0.626277,0.633599,0.643505,0.595796,0.581298,0.610794,0.635331,0.617574,0.649417,0.689893,0.450624,0.654416,0.667242,0.660254,0.656383,0.656067,0.681717,0.069951,0.596405,1.657098
0.511733,0.49012,0.476606,0.049468,0.041967,0.520898,0.515462,0.534308,0.505514,0.506603,0.524467,0.510645,0.519345,0.527104,0.525708,0.556283,0.498205,0.510023,0.546281,0.540416,0.551364,0.552133,0.540571,0.58704,0.539798,0.535933,0.550133,0.579784,0.588548,0.568529,0.576034,0.592609,0.58387,0.554977,0.591557,0.589451,0.614189,0.607684,0.607031,0.596358,0.607154,0.568224,0.612419,0.622264,0.604416,0.62853,0.637777,0.675613,0.636627,0.589357,0.61035,0.670411,0.6395,0.654557,0.650773,0.650467,0.534076,0.671235,0.673656,0.674567,0.659882,0.657435,0.701481,0.069951,0.597386,1.647598
0.51453,0.49183,0.480021,0.048598,0.041346,0.510645,0.527879,0.537015,0.517482,0.503648,0.506913,0.490586,0.505203,0.533302,0.524467,0.548439,0.531443,0.520122,0.540416,0.560731,0.549517,0.554324,0.538407,0.570055,0.544893,0.538871,0.576446,0.612124,0.584172,0.582433,0.578527,0.595758,0.565169,0.550941,0.563946,0.596283,0.606645,0.607684,0.605814,0.616692,0.606624,0.576345,0.602854,0.620215,0.609018,0.596208,0.638001,0.64322,0.637346,0.582887,0.638639,0.65909,0.614484,0.609758,0.652127,0.711286,0.438031,0.649051,0.680005,0.688561,0.662391,0.658799,0.686824,0.069951,0.600862,1.628768
0.525398,0.492141,0.463281,0.05288,0.039136,0.516705,0.525398,0.548285,0.517482,0.495562,0.517792,0.519345,0.491053,0.539489,0.523226,0.550595,0.53717,0.527104,0.554901,0.551364,0.543042,0.556513,0.548439,0.560271,0.545048,0.547977,0.549671,0.575838,0.575078,0.596208,0.581017,0.5989,0.592909,0.546898,0.568835,0.603077,0.623506,0.607684,0.604595,0.614779,0.606094,0.584424,0.593209,0.643648,0.612567,0.632732,0.638224,0.614337,0.616398,0.576389,0.632805,0.647586,0.634032,0.619409,0.653478,0.659603,0.48639,0.650608,0.686288,0.668622,0.657645,0.660161,0.637921,0.069951,0.611583,1.614735
0.536242,0.489498,0.502093,0.059191,0.042851,0.04732,0.515307,0.557357,0.514996,0.508002,0.523536,0.519656,0.513131,0.518879,0.526794,0.557511,0.523226,0.507846,0.552902,0.548439,0.564558,0.5587,0.558431,0.557818,0.554593,0.540416,0.546512,0.585833,0.608277,0.570969,0.583503,0.593959,0.576446,0.542849,0.589903,0.612124,0.640073,0.607684,0.603375,0.598751,0.605563,0.592458,0.567919,0.639536,0.624892,0.602183,0.638447,0.642649,0.62824,0.569864,0.626931,0.635907,0.61301,0.628966,0.654826,0.639786,0.454323,0.636627,0.66784,0.664137,0.650042,0.684545,0.72277,0.069951,0.612125,1.575888
0.547052,0.486545,0.482972,0.201052,0.048598,0.037397,0.518103,0.520898,0.508468,0.521674,0.497583,0.515151,0.530669,0.514141,0.545048,0.564099,0.502871,0.529894,0.554132,0.544122,0.541652,0.560884,0.565475,0.548131,0.548747,0.565016,0.54335,0.582812,0.584172,0.575686,0.585984,0.575534,0.578874,0.538794,0.576901,0.60798,0.621167,0.607684,0.597106,0.62124,0.605032,0.590254,0.57036,0.635403,0.630851,0.611681,0.638671,0.627222,0.606348,0.563315,0.623433,0.630779,0.628821,0.631141,0.656173,0.677654,0.471643,0.659184,0.648862,0.659623,0.644504,0.707953,0.677247,0.069951,0.613391,1.5615
0.537634,0.518103,0.478624,0.501626,0.052229,0.03787,0.160981,0.569445,0.52276,0.510334,0.50738,0.532837,0.508935,0.509401,0.528499,0.557664,0.50116,0.511888,0.532992,0.514841,0.556129,0.565016,0.550903,0.56364,0.537789,0.540107,0.573558,0.561191,0.585682,0.597704,0.616545,0.584323,0.588246,0.534733,0.563028,0.581601,0.601885,0.637777,0.590805,0.60798,0.604501,0.588045,0.572797,0.63125,0.62241,0.642363,0.638894,0.637058,0.627222,0.556743,0.612862,0.625621,0.62664,0.648059,0.657516,0.665167,0.518414,0.666689,0.629401,0.655079,0.638926,0.730308,0.700177,0.069951,0.615027,1.561
